HGNC	Cellule361_Rep1	Cellule361_Rep2	Cellule361_Rep3	MDA-MB-231_Rep1	MDA-MB-231_Rep2	MDA-MB-231_Rep3	MCF-7_Rep1	MCF-7_Rep2	MCF-7_Rep3	SK-BR-3_Rep1	SK-BR-3_Rep2	SK-BR-3_Rep3	MCF102A_Rep1	MCF102A_Rep2	MCF102A_Rep3
HGNC:7413	0.816865232	0.729350804	0.88316911	0.004684581	0.005918732	0.011752007	0.049973149	0.043737863	0.022332034	2.892547596	3.880955477	2.6215497	0.039685687	0.006584551	0.003325869
HGNC:626	1519.239307	1917.990339	1676.696697	488.0548359	505.2429663	457.726844	1251.536914	1635.429199	1454.54303	730.8161434	768.8096746	826.6220629	935.3479596	926.5009332	828.5301948
HGNC:633	0.301808926	0.460799088	0.415628606	0.297622712	0.28925485	0.229733324	0.027136022	0.0	0.031182592	0.895955944	1.467828777	1.049242051	0.20687814	0.868844167	0.585139689
HGNC:634	0.093173829	0.0	0.108571697	0.03887293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HGNC:638	1.094413635	0.0	0.34780254	0.166035949	0.0	0.0	0.098400113	0.0	0.0	0.842306877	0.313094827	0.600748586	0.0	0.0	0.0
HGNC:637	0.082562384	0.0	0.03206887	0.091855314	0.02901364	0.028804185	0.0	0.0	0.0	0.0	0.1154746859999999	0.083087353	0.0	0.0	0.0
HGNC:7103	0.115717489	0.019053337	0.112367428	0.0	0.0	0.0	0.057223681	0.128786726	0.175351934	0.699765461	0.424847311	0.524039728	0.054532352	0.022619681	0.068551453
HGNC:4175	0.322159074	0.245521417	0.225239369	0.061443456	0.038815356	0.115605417	0.09103515	0.081952916	0.094149421	0.033396971	0.019310706	0.083367644	0.052052165	0.021590915	0.098150494
HGNC:406	23.03262282	21.83425077	21.93353986	0.948828298	0.930980461	0.886276242	7.393868347	6.206538839	7.094127256	17.73219784	18.42505936	26.98950016	2.097874464	1.858602336	2.049557688
HGNC:30262	106.2007366	120.5300262	100.5851593	140.72179	141.3402222	114.7101486	56.29879579	83.1148244	83.6196277	90.73225743	88.05221562	66.86163094	116.9911349	183.2474656	154.7173582
HGNC:17325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HGNC:30324	8.637832962	7.867487102	8.445047007	48.27305686	53.70546683	51.81833125	47.92427675	56.46112506	37.73548875	22.11689553	22.05552062	27.60480132	28.15674175	15.36915749	33.69786382
HGNC:24671	47.41770968	51.40690295	46.07509458	33.67332719	34.93562304	31.10948008	81.24506905	74.62514809	86.43671637	90.19993972	98.66606558	88.29225859	78.08227687	82.19129908	63.76663302
HGNC:753	0.204254824	0.091721878	0.086549051	0.57327722	0.508972408	0.194345394	1.010064513	1.239946616	0.675308843	0.134745535	0.331126841	0.261613632	0.945058339	0.740452639	0.968010284
HGNC:16448	3.449395372	3.467993292	3.806229021	0.135712471	0.092877347	0.170228022	2.332443995	1.598943638	2.11032128	2.286719493	1.435960161	2.284665891	0.006387199	0.015896222	0.032116843
HGNC:20123	0.063415723	0.087709831	0.088674934	0.0	0.0	0.0	0.112895398	0.268196214	0.201803084	0.030678946	0.066521613	0.0	0.01195397	0.0	0.0
HGNC:7468	3.346006419	2.667917639	3.329773928	7.269591856	6.970414938	7.544545739	4.913884437	4.220946108	3.93362229	2.278690906	2.737635275	2.306886508	2.95633113	1.411776632	1.802363192
HGNC:6904	209.3517826	148.3174704	305.5145428	390.1475596	383.8853397	431.4791873	411.3479321	212.1534942	279.5820257	129.748942	155.8571989	238.5784541	227.9418425	37.89227496	39.82182593
HGNC:6905	12.4839434	8.938091452	11.16907159	75.72676221	80.86452113	85.3701647	36.85578261	38.09111725	29.43900422	16.0598826	17.68119551	24.89137561	55.7903977	21.19477249	43.79152421
HGNC:6903	1.188849032	0.964761154	1.261628647	0.053142656	0.0	0.02221945	0.062989291	0.02362712	0.0	0.025675693	0.044538389	0.0	0.0	0.0	0.0
HGNC:257	0.876606335	0.879446623	1.027016816	1.314918897	1.481517152	1.703393667	1.731280909	1.687277695	1.916856021	3.531536872	2.060766634	3.211409441	3.219652511	2.007621295	2.525672706
HGNC:1550	0.526910888	0.457450942	0.595382267	0.0	0.0	0.0	11.11738586	9.133946275	9.54512893	0.115866525	0.200988083	0.112479654	0.240784451	0.430714806	0.54861653
HGNC:2501	0.913921243	0.876713672	0.740838601	2.287775214	1.899065065	2.093298897	1.899478886	1.857386681	1.384906107	2.274738732	2.028515661	2.745867638	9.350325319	9.911036866	11.40884684
HGNC:7436	10.87803354	9.756840087	10.48666714	7.330129206	7.167565422	5.168333291	4.529951646	3.703666377	3.578757767	3.765126387	4.203980184	4.213231946	4.805923974	4.007918788	3.730844428
